"AF3","AF4","F3","F4","F7","F8","FC5","FC6","O1","O2","P7","P8","T7","T8",
158.3537,121.2361,-75.9229,-24.3436,200.7745,194.0255,-31.5745,11.3282,-32.5383,-11.3282,-29.1639,-261.5128,47,47,
158.0118,120.7106,-76.188,-20.9546,190.6559,185.2763,-28.7159,11.6126,-31.0682,-11.6126,-20.1834,-247.2683,45.1441,47.5542,
150.4593,114.9138,-73.5449,-19.6973,182.1091,174.6421,-28.9211,7.0595,-27.2759,-7.0595,-20.9006,-233.8782,55.9328,43.7371,
146.7341,108.5011,-66.7223,-22.3721,181.7876,168.5017,-25.7398,3.7436,-27.5678,-3.7436,-22.0569,-223.7021,64.1462,44.0052,
136.966,95.2424,-54.0421,-21.9938,163.6498,152.6072,-17.9287,4.0011,-21.0932,-4.0011,-15.913,-205.4593,58.369,44.7391,
130.1941,90.01,-55.1377,-14.8899,154.7949,147.7889,-18.7809,4.7252,-15.4891,-4.7252,-17.8505,-188.7934,51.0107,42.0545,
117.5617,85.0913,-60.5065,-22.1912,147.9173,145.1885,-24.8849,5.4055,-18.4161,-5.4055,-20.154,-184.2145,43.1294,40.9775,
102.3133,81.4321,-61.2145,-27.1262,133.7396,136.9591,-25.802,5.0812,-18.7574,-5.0812,-17.0165,-179.4284,38.6134,37.555,
102.2,81.6074,-53.4442,-18.5088,125.9562,129.9469,-19.6746,3.0891,-13.5342,-3.0891,-12.3801,-164.0831,45.2147,34.5783,
110.168,83.942,-61.807,-20.7729,132.4988,136.2501,-23.3146,0.011464,-16.0963,-0.011464,-18.8679,-154.7201,50.6967,34.914,
117.658,93.0055,-72.1985,-30.6138,138.6489,142.1751,-36.0157,0.010776,-28.1464,-0.010776,-31.8358,-159.5369,56.3316,45.3526,
124.6985,101.5252,-81.9666,-34.3203,144.43,147.7446,-29.6369,-0.23061,-29.109,0.23061,-36.7951,-164.0647,67.0517,53.4775,
131.3166,109.5337,-80.9048,-34.6712,149.8642,152.9799,-19.6635,-3.5912,-24.4699,3.5912,-29.7667,-159.5232,68.9341,50.7512,
137.5376,106.9383,-81.1124,-39.0987,154.9723,157.9011,-24.0276,-2.6526,-26.6169,2.6526,-32.0783,-146.3366,55.8798,53.7315,
128.9239,102.6912,-74.0765,-35.066,159.774,162.527,-22.8269,0.15763,-26.2252,-0.15763,-24.6099,-143.582,53.7323,55.0869,
121.912,102.5559,-66.4982,-28.3821,156.6955,147.2318,-22.1799,0.8713,-29.2312,-0.8713,-20.482,-135.2078,50.7495,46.2387,
106.1609,89.8944,-61.3032,-31.2591,133.1938,132.854,-19.6445,1.5422,-29.6467,-1.5422,-22.8687,-118.6599,41.1964,38.8844,
91.1142,76.788,-53.2867,-25.5272,115.4402,125.8471,-15.5733,5.306,-21.119,-5.306,-21.0147,-102.3813,38.2427,38.9615,
79.3808,69.7706,-47.197,-19.6568,101.7654,109.6192,-18.9773,3.5414,-18.8875,-3.5414,-21.6815,-96.2384,32.5741,33.7318,
72.2078,62.2099,-39.5449,-17.9954,97.5876,93.883,-13.5003,-4.3839,-17.7547,4.3839,-13.6322,-87.572,21.4606,30.2616,
73.9009,63.057,-45.6079,-12.8179,105.8324,97.6505,-10.0387,-2.4336,-17.4124,2.4336,-9.6808,-83.5225,29.0911,33.0256,
60.0669,52.7657,-44.0767,-13.7365,85.3824,83.3553,-8.714,4.7023,-13.7165,-4.7023,-14.6436,-81.6447,41.4456,27.4287,
49.473,43.5742,-37.3348,-15.0815,66.1595,69.9179,-9.8779,3.6968,-15.0627,-3.6968,-20.2724,-76.505,31.6073,20.7213,
60.0024,53.0113,-40.8788,-12.2479,76.2899,79.8228,-10.2495,-0.38141,-17.051,0.38141,-12.7896,-77.6988,18.6236,21.4062,
52.0637,43.5639,-32.1598,-10.5494,78.7022,74.431,-3.8498,-0.35829,-8.7973,0.35829,1.4754,-72.0733,17.9884,22.5322,
40.9862,27.2112,-29.5068,-12.5675,59.88,55.8652,-5.7879,0.86804,-7.0642,-0.86804,-6.0849,-59.7947,19.5602,20.4569,
46.2395,27.507,-33.0393,-16.634,62.4333,49.5002,-4.959,0.33425,-8.5688,-0.33425,-9.0945,-54.761,23.689,16.3372,
39.8502,25.1337,-27.4411,-17.3232,54.108,48.6999,-2.4918,-2.8193,-6.8493,2.8193,-1.0766,-49.3061,26.3655,17.0446,
26.1308,13.7435,-27.0001,-16.0426,36.7615,31.6779,-6.9218,-3.3733,-6.1972,3.3733,-3.6638,-42.7326,22.6141,14.8164,
23.1169,9.0623,-26.8262,-15.5622,33.4712,20.4979,-6.5067,3.0959,-6.7894,-3.0959,-6.3358,-40.1684,20.7756,1.8766,
