AF3,AF4,F3,F4,F7,F8,FC5,FC6,O1,O2,P7,P8,T7,T8,Frontal,Temporal,Parietal,Occipital,Fronto-central,Participant,Game,Emotion,satisfaction,boredom,horrible,calm,funny,gender,arousal,valence
89.0373,46.3741,108.5149,-28.7519,96.4571,-17.6222,-7.4198,-22.2593,-46.3741,-14.8396,109.4422,7.4198,71.416,-8.3479,49.00155,31.53405,58.431,-30.60685,-14.83955,S22,G2,Satisfaction,0.8555277382080453,-0.3236488890015773,-0.5,0.9836448809953706,1.1801936887041646,M,0.0201976967103713,2.9874874587011124
77.2035,43.5916,93.657,-29.8094,98.0903,-22.1293,-13.4671,-35.0238,-51.9386,-16.7318,90.8187,8.83,63.4212,-8.7743,43.43395,27.32345,49.82435,-34.3352,-24.24545,S22,G2,Satisfaction,0.8555277382080453,-0.3236488890015773,-0.5,0.9836448809953706,1.1801936887041646,M,0.0201976967103713,2.9874874587011124
58.4712,26.8761,82.9364,-42.1208,88.031,-34.9015,1.4409,-47.0223,-62.9223,-26.3944,73.7759,-2.3663,46.1668,-20.7688,29.88206666666667,12.699000000000002,35.7048,-44.65835,-22.7907,S22,G2,Satisfaction,0.8555277382080453,-0.3236488890015773,-0.5,0.9836448809953706,1.1801936887041646,M,0.0201976967103713,2.9874874587011124
64.4254,12.4666,89.5535,-33.841,77.6475,-37.2573,9.5142,-38.2608,-68.234,-26.2016,83.4493,-9.1805,57.4968,-14.421,28.832449999999994,21.5379,37.1344,-47.2178,-14.3733,S22,G2,Satisfaction,0.8555277382080453,-0.3236488890015773,-0.5,0.9836448809953706,1.1801936887041646,M,0.0201976967103713,2.9874874587011124
69.371,25.8186,84.6443,-17.7106,87.0886,-20.9219,3.8422,-21.8651,-50.04,-14.8903,92.5423,-4.4557,68.147,-0.10754,38.04833333333334,34.01973,44.0433,-32.46515,-9.01145,S22,G2,Satisfaction,0.8555277382080453,-0.3236488890015773,-0.5,0.9836448809953706,1.1801936887041646,M,0.0201976967103713,2.9874874587011124
51.1087,37.0669,69.8273,-14.053,84.4582,-5.5665,-0.56232,-12.393,-39.8055,-12.6055,78.731,-2.797,60.4374,4.0729,37.14026666666667,32.25515,37.967,-26.2055,-6.47766,S22,G2,Satisfaction,0.8555277382080453,-0.3236488890015773,-0.5,0.9836448809953706,1.1801936887041646,M,0.0201976967103713,2.9874874587011124
42.6646,23.2491,67.9554,-22.9482,65.9425,-19.3326,-3.7744,-25.7494,-51.5172,-22.5157,67.9778,-5.8759,46.1447,7.0743,26.255133333333333,26.6095,31.05095,-37.01645,-14.7619,S22,G2,Satisfaction,0.8555277382080453,-0.3236488890015773,-0.5,0.9836448809953706,1.1801936887041646,M,0.0201976967103713,2.9874874587011124
48.9163,13.0426,57.85,-34.0927,64.305,-31.3449,-0.30167,-36.075,-51.0206,-29.0482,52.3058,-10.6241,39.2025,3.4036,19.77938333333333,21.30305,20.84085,-40.034400000000005,-18.188335,S22,G2,Satisfaction,0.8555277382080453,-0.3236488890015773,-0.5,0.9836448809953706,1.1801936887041646,M,0.0201976967103713,2.9874874587011124
47.8367,15.9709,42.3221,-28.3364,53.0269,-15.3642,0.64368,-20.9246,-40.5396,-27.3053,37.1106,-4.4214,28.5033,2.2721,19.24266666666667,15.3877,16.3446,-33.92245,-10.14046,S22,G2,Satisfaction,0.8555277382080453,-0.3236488890015773,-0.5,0.9836448809953706,1.1801936887041646,M,0.0201976967103713,2.9874874587011124
44.9665,19.6497,44.4199,-21.9991,50.7725,-0.34236,0.60506,-15.9601,-46.4543,-23.8124,31.1741,-2.3016,18.4452,2.1358,22.91119,10.2905,14.43625,-35.13335,-7.67752,S22,G2,Satisfaction,0.8555277382080453,-0.3236488890015773,-0.5,0.9836448809953706,1.1801936887041646,M,0.0201976967103713,2.9874874587011124
56.3685,20.7889,55.2034,-25.7808,61.8262,-8.5815,5.6695,-24.7404,-49.6959,-15.4275,26.9846,-4.4825,21.512,-3.0931,26.63745,9.20945,11.25105,-32.5617,-9.53545,S22,G2,Satisfaction,0.8555277382080453,-0.3236488890015773,-0.5,0.9836448809953706,1.1801936887041646,M,0.0201976967103713,2.9874874587011124
56.5086,15.368,44.9351,-27.4793,51.4364,-22.1666,6.7211,-20.9378,-46.2505,-14.9655,20.2648,-4.6772,11.4106,-4.2993,19.76703333333333,3.5556500000000004,7.793800000000001,-30.608,-7.10835,S22,G2,Satisfaction,0.8555277382080453,-0.3236488890015773,-0.5,0.9836448809953706,1.1801936887041646,M,0.0201976967103713,2.9874874587011124
39.0181,4.7072,28.7903,-24.4397,34.2502,-22.5034,6.7815,-15.5081,-46.7218,-20.0965,18.5852,-6.7156,-3.374,-4.505,9.97045,-3.9395,5.9348,-33.40915,-4.363300000000001,S22,G2,Satisfaction,0.8555277382080453,-0.3236488890015773,-0.5,0.9836448809953706,1.1801936887041646,M,0.0201976967103713,2.9874874587011124
22.577,8.5987,39.5838,-13.2349,37.0205,-13.2702,4.056,-13.1863,-34.1801,-5.4425,24.4258,-2.1387,-0.2017,-3.7706,13.545816666666669,-1.98615,11.14355,-19.811300000000003,-4.565149999999999,S22,G2,Satisfaction,0.8555277382080453,-0.3236488890015773,-0.5,0.9836448809953706,1.1801936887041646,M,0.0201976967103713,2.9874874587011124
23.4522,10.865,41.8455,-10.5859,48.7111,-15.2562,-10.2874,-12.3946,-18.0293,6.0142,28.5251,7.2644,13.7223,-1.6894,16.505283333333335,6.016450000000001,17.89475,-6.00755,-11.341,S22,G2,Satisfaction,0.8555277382080453,-0.3236488890015773,-0.5,0.9836448809953706,1.1801936887041646,M,0.0201976967103713,2.9874874587011124
