"AF3","AF4","F3","F4","F7","F8","FC5","FC6","O1","O2","P7","P8","T7","T8",
-29.6463,-24.3436,-11.3282,-14.7026,3.1335,20.4872,0.24097,-1.2053,-0.24097,6.9899,13.2564,-2.1692,98.5793,5.0617,
-31.4827,-30.355,-12.336,-16.4718,10.899,15.6423,-8.2094,-4.7482,-5.7704,4.4011,14.148,9.7709,92.9057,5.4806,
-30.3168,-30.7027,-11.3544,-12.35,22.5376,16.8734,-11.3323,1.0803,-11.9316,-1.4066,16.9145,12.8005,90.9468,8.2853,
-39.3439,-36.3323,-13.3244,-14.2603,16.6058,15.6198,-19.0882,2.2206,-18.2054,-2.5273,6.4999,1.6684,79.4642,4.173,
-41.8039,-31.7422,-10.1146,-10.9944,14.6454,18.0569,-23.7273,-1.2869,-21.4516,0.9986,-0.63877,6.3888,68.912,4.8867,
-34.234,-25.7401,-10.713,-8.6475,15.9358,15.2862,-16.76,-6.2713,-11.2464,6.0004,5.907,14.923,70.8028,9.6552,
-27.6005,-22.0266,-10.3112,-6.9233,18.1131,7.8616,-13.1033,-4.6898,-5.028,4.4351,5.3116,17.6431,72.0983,14.1371,
-20.6418,-12.51,0.43059,3.1328,21.3649,9.3183,-14.7275,-6.3368,-12.9213,2.7229,-1.7557,24.7794,65.8444,13.2891,
-21.5729,-12.4828,-0.31861,-0.18865,5.983,5.1433,-7.8183,-12.4641,-8.0486,7.1388,1.4831,15.3389,60.6885,5.0199,
-19.7961,-6.4309,-4.1559,-2.5875,-8.476,2.4246,4.7024,-0.14707,6.5343,16.8339,10.5531,5.2596,64.7599,10.0214,
-20.5368,-7.0092,-7.7629,-2.4322,-8.9317,0.35092,-0.88243,3.7181,0.23692,7.1467,3.1711,5.9083,57.4999,14.7223,
-16.4123,-7.5527,-1.5128,3.4981,5.7042,7.5605,-7.5782,1.0847,-10.3824,-2.4409,-1.8397,10.3738,52.6034,11.911,
-19.2839,-8.5458,1.9527,4.7347,11.5082,5.6608,-9.0519,3.43,-9.2773,-2.7766,-8.478,-1.8175,48.4836,5.8935,
-20.2958,-5.8637,3.523,5.6557,2.8642,-0.22222,-4.4107,6.3579,-1.7305,4.862,-8.6924,-8.2162,45.8157,9.6379,
-16.186,-5.0299,0.41883,5.3166,1.7278,1.2371,-6.0745,-0.29079,-5.0014,4.5701,-4.3147,-4.8309,45.4767,12.4338,
-15.4558,-7.3792,-2.7391,-1.0282,5.7217,3.8142,-5.4688,-1.4784,-3.9782,2.127,-0.4402,-0.92542,50.2201,12.4109,
-18.867,-6.9367,-5.9497,-3.3771,-2.3344,-2.1992,0.16147,-0.90777,0.59885,6.3377,-0.89572,0.57591,45.2783,8.2914,
-14.3608,2.6383,-6.0744,4.5385,-15.21,-8.8159,8.3467,1.5571,6.3473,13.188,3.0142,-4.2791,42.5618,2.9734,
-10.3657,6.5776,-8.3612,3.0611,-23.6974,-16.7229,11.4611,2.1868,13.4385,10.7097,9.823,-18.1224,44.1057,-5.1585,
-2.7538,11.7268,-5.2082,2.1543,-18.6597,-10.1757,15.3534,2.7787,19.1399,11.7541,13.3312,-11.6117,39.7723,0.21245,
0.30391,2.8282,-8.27,-3.7593,-15.6121,-9.5653,9.6113,-7.5112,7.8684,5.7465,-0.48389,-1.2742,23.8884,-1.7283,
4.1418,1.6944,-3.9176,-0.15949,-13.2294,-9.4736,9.5168,-3.2039,7.8784,6.3658,0.99118,8.4434,22.9373,-3.0706,
-4.3018,3.0386,-4.6469,0.33202,-26.5356,-18.0642,7.0176,-0.11959,13.6722,8.394,7.6802,2.1518,23.0068,-0.95862,
2.9461,5.5076,-3.1628,0.070899,-21.6897,-16.7394,20.6965,3.0211,22.7338,16.326,10.3528,-6.413,28.6163,8.4989,
9.2773,1.08,-8.5164,-6.9225,-6.2883,-14.0473,21.2627,-2.2219,11.9703,8.357,-2.0785,-18.3203,26.1764,-3.3388,
9.9257,5.1123,-4.39,-6.2664,8.189,-11.9999,16.3712,-2.3298,11.4928,7.1325,3.1077,-13.6059,25.3285,-5.3078,
4.2685,0.2263,-7.7422,-15.7726,19.267,-25.3799,16.5943,-4.8411,17.7931,9.3556,9.9111,-10.6204,18.2656,-2.3383,
7.8688,-5.5719,-7.7596,-17.7186,32.0903,-34.5826,16.5625,-4.5506,11.4228,7.3485,3.0499,-6.6087,15.2411,-4.1262,
8.3608,-5.2375,0.90064,-6.5323,36.4316,-26.7229,12.1945,-3.7954,3.9888,2.569,-1.4716,-5.2481,15.7731,-4.8427,
-3.2281,-2.0312,3.7389,-3.73,20.1457,-32.3506,9.0525,-4.0498,4.2316,2.4147,0.062706,-10.718,13.3802,-1.6598,
1.5453,-0.70383,5.6839,-4.7113,18.8167,-32.5785,10.1968,-2.1194,1.8083,1.5471,-0.18179,-7.9051,12.3367,-3.2473,
12.2986,-2.3491,6.548,-2.2597,29.4976,-23.6341,6.9337,-1.7515,0.49478,-4.0896,-1.3764,-5.2618,12.3196,-3.2936,
4.3299,-2.2081,-0.11142,-2.1241,13.6278,-27.5187,1.215,-1.1645,3.8396,-1.4341,-1.2938,-8.8025,11.5804,-0.20348,
2.3831,2.986,0.61817,-0.30942,-1.2899,-32.3753,10.0597,4.449,11.081,9.9802,4.3274,-6.5874,19.8032,-3.8067,
7.5425,3.2888,2.9914,-2.2191,-3.1405,-31.8788,16.2052,4.1823,6.5595,4.0789,5.9962,-11.4945,23.9179,-8.8812,
