"AF3","AF4","F3","F4","F7","F8","FC5","FC6","O1","O2","P7","P8","T7","T8",
-124.6101,27.7181,4.0974,-4.0974,-41.2154,44.5899,7.9542,-4.5793,-8.4357,14.2207,-8.9176,14.7026,-8.4357,29.6463,
-113.2774,25.0904,2.4055,-2.4055,-38.2608,41.4323,14.2252,-11.0537,-14.6787,8.5465,-15.1317,17.1947,-7.9298,24.4928,
-99.2499,24.0676,4.6715,-0.33273,-33.0724,39.9105,11.4437,-3.1594,-8.4951,-0.64313,-8.439,20.5016,-6.9718,29.29,
-104.3821,17.8026,4.391,-2.2412,-35.9085,27.3927,0.63394,-3.452,-5.5755,2.2877,-6.4866,13.4867,-9.9282,17.4094,
-108.4833,13.6012,0.99427,-2.3479,-41.708,21.6516,2.2829,-7.8244,0.3029,16.2505,-6.8205,15.3288,-7.645,12.2678,
-101.0102,10.8569,-7.7425,-3.1709,-44.9903,22.7626,1.664,-8.3192,6.0693,20.2166,-4.0012,25.0144,-5.2581,23.1009,
-93.7443,11.893,-9.4469,-0.32933,-34.8186,22.6024,-1.0872,-2.7582,4.5001,16.3523,-1.5917,23.2723,-6.6297,27.2582,
-86.9143,12.8666,-1.8902,-0.068602,-23.3295,22.4515,5.486,1.5047,2.5429,13.6844,1.1553,13.9222,0.27561,21.5258,
-80.4946,11.8534,-3.4642,-0.30568,-24.5811,19.8989,6.3619,-0.755,-2.1892,7.8014,-0.60144,6.0972,4.3567,16.6186,
-70.1214,10.9013,-1.0872,0.43602,-20.4551,17.9821,3.8106,2.9057,-4.709,2.7536,-1.2883,1.6336,-0.0025581,18.2726,
-65.1909,7.5959,1.1474,-2.7239,-15.1307,14.2518,1.413,1.5263,-7.5602,-5.3651,-4.3447,-4.9721,-3.1357,11.6324,
-58.8691,10.0326,-0.84963,-1.1137,-15.1867,17.7355,1.8102,-3.8675,-7.588,-4.5613,-2.1553,1.1112,4.2833,7.0785,
-54.855,8.4663,-1.763,-4.4213,-17.65,16.189,0.73768,-3.6359,-4.2407,1.497,0.86604,11.6494,4.9906,10.9921,
-54.6968,6.2711,1.4763,-2.4688,-17.3139,5.8181,1.8987,1.162,-2.299,0.68426,2.5013,10.2275,-1.3343,19.2507,
-50.4511,3.4845,1.8699,0.089195,-17.7211,2.5763,1.7846,-3.2462,-7.4635,-0.32089,1.3871,6.2397,-5.1109,12.7932,
-40.9163,3.0347,2.9627,-1.1212,-14.9708,9.4118,0.47242,-4.2565,-3.8824,11.5087,-0.86503,7.5523,-4.0811,4.5536,
-41.8356,1.8885,1.8209,-0.089851,-17.4468,8.3649,-1.4843,-0.14452,0.68908,14.1924,-5.6336,4.2069,-7.6924,5.7268,
-39.8076,-0.15321,0.74753,0.87964,-13.5077,6.8989,3.9076,0.34586,2.5757,14.305,-2.8857,9.2573,-4.3386,7.3112,
-37.9013,0.82031,-1.7074,1.3088,-6.4307,8.8951,6.5652,-2.085,3.8674,12.0004,1.1438,9.1838,0.742,4.4619,
-42.6169,0.047963,-4.2563,0.025201,-6.2856,3.7819,1.5918,-0.75486,4.8404,1.8806,-3.0219,-2.6956,2.3845,6.8456,
-40.783,-3.5706,-3.7602,-5.0378,-2.7752,-2.4708,1.2551,1.4598,1.8987,5.383,0.29265,2.5275,4.8927,10.5324,
-34.9618,-6.2484,-3.0522,-5.2174,-1.1624,-1.8406,4.0723,0.40791,-0.14343,9.3983,1.7209,11.053,5.5635,2.6696,
-35.9976,-5.6327,-1.1821,-4.1817,-2.7801,2.3674,4.0687,-2.7498,-1.3403,-2.4935,-3.4438,-0.93861,4.9885,-1.1062,
-36.0066,-1.6794,2.9862,-1.7612,-2.3724,1.0201,0.2096,-1.3795,-7.7674,-9.8157,-4.442,-12.6924,3.9663,2.0936,
-25.8925,-3.7478,3.048,0.51364,-1.9891,-7.4768,-2.9365,-0.57387,-7.0604,-6.5757,-4.4169,-8.3155,0.59481,-2.6113,
-20.9645,-7.8612,1.4193,-0.4815,-4.7618,-9.9207,-2.2783,-3.9139,3.0042,-7.145,-8.0083,-3.4782,-1.3691,-6.311,
-30.3117,-6.9074,1.8159,0.99388,-9.7789,-5.9508,-3.1057,-3.6788,-0.068348,-4.306,-8.0095,0.5871,-1.2872,-3.04,
-33.5547,-9.6264,3.3941,-2.6812,-9.9151,-6.799,-3.6423,-0.32507,-5.1255,1.496,-1.9853,5.6136,1.9236,1.2397,
-28.6491,-13.3874,0.2982,-3.9663,-7.3918,-13.6217,-1.4958,-3.1979,3.8589,-6.7887,-0.42017,-8.8233,6.1467,2.6114,
-24.0379,-9.6919,-1.1657,5.4304,-1.6459,-14.2509,6.307,-2.0419,9.4117,-8.7917,6.3537,-20.2252,10.116,3.9007,
-26.9339,-12.9665,-8.3264,-0.1978,-5.8857,-9.0573,1.1081,-0.95528,-0.31176,4.269,7.9005,-5.0317,4.2066,-0.18947,
-17.6051,-6.8861,-5.4169,1.2601,-6.9785,3.0555,-1.3688,3.4406,2.1173,17.0281,2.124,9.3702,4.4364,1.7503,
-15.1028,-6.9551,0.69292,0.70233,-5.1138,-0.020088,0.64131,0.8238,1.0262,2.9912,-5.234,-2.8819,1.7598,2.6089,
-14.6785,-7.9836,4.9897,2.5884,0.013738,-5.3215,3.9777,3.6669,-0.48167,-4.4191,2.7928,-8.4935,0.69038,5.8273,
-10.6646,-6.7817,-1.3353,3.6384,-0.71045,-8.6177,3.0157,-1.1329,-0.2118,4.2822,5.2763,-0.030177,0.40799,5.2362,
-7.8553,-7.5798,-5.3523,0.76875,-0.42662,-8.8237,4.5222,-4.1977,4.3804,6.6766,-1.0656,5.5155,5.9269,3.2351,
