"AF3","AF4","F3","F4","F7","F8","FC5","FC6","O1","O2","P7","P8","T7","T8",
0.48216,37.1178,-42.9024,-13.9795,-36.1537,28.9231,-12.0513,6.7487,-0.48216,2.8923,10.1231,-9.1588,-0.9641,30.3694,
6.9605,37.0602,-39.1234,-10.9718,-35.19,25.9822,-16.8721,6.1026,-8.8891,-5.7172,6.382,-10.2967,5.6015,33.6082,
10.8816,25.6775,-34.8478,-10.313,-31.1502,22.4956,-17.3058,7.6646,-5.4633,-6.8204,4.5533,-2.4481,3.3372,28.6997,
1.7928,10.8807,-36.8541,-16.202,-32.4145,19.4588,-16.9903,6.4821,-2.0022,-0.38538,-0.29941,9.5092,-9.6373,30.1114,
-1.9302,9.0226,-40.1867,-12.5788,-25.8903,21.9063,-7.5353,6.816,-2.6054,1.325,4.7802,6.7694,-2.0696,33.8479,
-1.5734,14.9892,-47.1753,-9.6544,-25.0596,14.5663,-2.5034,3.274,-7.5103,-4.2981,5.6987,0.81966,6.4907,27.7196,
-2.4431,18.9103,-49.1652,-12.4498,-26.4483,10.8001,-4.7635,3.0774,-6.5776,-5.0044,2.4645,3.6628,1.2808,19.7902,
-1.3322,4.2779,-44.7693,-12.6669,-14.7385,15.4547,-3.5134,6.7491,-3.2908,1.5624,10.5113,-3.3059,1.6858,11.3719,
-1.9754,-7.7887,-45.6985,-11.6657,-10.7207,10.4298,-4.5079,0.80078,-10.083,2.1918,8.6756,-15.3996,2.3078,1.2894,
-0.41058,5.6936,-48.7412,-10.0019,-14.4162,5.4657,-4.2374,-1.1759,-7.5499,0.61404,2.37,-8.6913,2.6513,-0.71617,
-5.2067,3.9062,-53.5295,-11.8119,-14.0332,6.584,-3.5012,2.2691,3.026,1.0596,8.0129,-5.2773,4.4204,-4.0477,
-7.0634,-10.4282,-51.523,-12.3083,-6.6835,9.322,-0.15768,5.2664,5.496,8.4678,17.896,-5.2018,9.2169,4.6313,
-4.9524,-20.2873,-54.9394,-18.5597,-13.7543,5.1473,-6.6559,2.7813,-2.7875,8.2007,11.7605,9.2103,3.6022,18.4535,
-5.6193,-17.6241,-58.8738,-18.4104,-20.642,4.3563,-8.6669,2.1322,-0.69226,6.7441,7.6807,22.7577,1.94,21.8051,
-11.308,-13.9151,-61.367,-13.6901,-13.8599,1.926,-1.6392,-0.16508,2.0006,3.6886,9.3892,7.2922,11.2234,6.3968,
-6.2909,-8.2597,-55.7567,-6.12,-0.012646,4.7027,4.7259,2.2552,4.7728,5.8776,15.0926,-7.2453,19.2273,3.9645,
0.59423,-9.9337,-52.1704,-2.1376,0.22885,7.5538,3.237,8.1452,3.7633,11.5503,15.874,-0.78484,13.4937,-2.2996,
2.9687,-9.3375,-52.8963,-0.080968,-3.641,6.6186,0.6327,10.549,1.1274,13.7498,10.5833,-1.7016,9.792,-10.8383,
2.3084,-4.9206,-56.9534,-1.0402,-4.8688,-1.0095,-1.8156,3.6493,-2.7968,6.1761,3.1991,-4.9742,13.543,-4.4032,
-3.1325,-3.1793,-62.213,-6.2804,-7.9509,-11.0716,-3.6349,-5.2465,-12.27,-1.9074,-7.5979,1.1091,8.8738,-2.211,
-7.5238,-2.2657,-69.3265,-5.6626,-7.7151,-10.1664,-3.6578,-4.2084,-19.0056,-1.552,-9.3112,9.4782,-4.4326,-3.7656,
-0.32373,-2.1295,-69.0233,-0.50218,-1.9495,-1.3615,-4.8843,2.3109,-13.0448,5.7722,1.3706,15.1762,-7.5413,9.476,
2.1058,-11.6427,-70.1843,-4.8104,-4.7246,-5.1362,-10.8578,-4.5767,-13.226,-1.805,0.80647,1.2502,-4.6782,5.533,
11.6207,-4.1955,-60.6709,2.2267,3.7533,-1.4538,3.8937,0.036473,-4.7199,-1.6969,5.0966,-12.3224,9.7024,-7.3322,
7.0668,6.1794,-62.333,2.5755,5.9385,-5.2227,7.8777,0.99838,-5.8825,-4.4874,2.3805,-14.4751,7.5533,-15.5692,
-4.4444,4.8443,-71.1265,-0.95349,-2.1306,-10.6944,-6.695,1.9023,-9.8683,-3.2538,-3.065,0.49343,-0.13071,-0.53503,
-2.2496,-9.5463,-68.7871,1.5136,-7.7873,-5.232,-6.1728,5.6446,-5.9018,0.79779,0.011424,14.5638,5.6617,13.5971,
1.7418,-20.4222,-67.5522,-2.9155,-2.9818,-3.9542,2.8744,2.4139,-6.5117,-3.1065,0.97461,9.5924,3.8762,3.8632,
3.8064,-5.0969,-68.5607,-4.4278,9.0073,-7.3324,7.2817,1.0637,-5.8801,-0.75092,3.5672,-0.38313,-2.3824,-10.4686,
1.6501,2.56,-69.7497,-1.2699,9.9131,-10.2667,4.4345,0.03581,-6.0094,-0.22416,3.8354,-3.2524,-4.6498,-13.3354,
0.58677,-3.8601,-70.385,-1.6756,12.2106,-5.3123,4.6503,1.4799,-5.1667,-2.1384,1.1951,3.2092,-0.99634,0.48012,
-0.41231,0.70981,-72.9106,-6.3955,10.996,-5.9575,2.4431,-2.9472,-9.6772,-6.8309,-1.7691,0.60655,-1.4185,-11.1178,
8.0483,3.3185,-65.4027,0.97783,10.5772,-7.2875,3.984,-0.1195,-4.9992,-1.8415,2.9165,-4.4913,6.6206,-13.1021,
7.5654,-1.7008,-62.9248,3.3293,11.871,-5.404,3.2626,3.7445,-5.6633,-2.6953,-5.9351,0.1165,8.1515,-3.1569,
9.2809,2.9807,-61.8004,3.8527,13.3277,-0.98214,-1.0303,2.7967,-14.2414,-6.1488,-14.4968,6.1353,-0.29152,-2.2444,
9.9291,8.8272,-58.8155,4.8266,10.3591,-5.5027,-4.1018,-2.4325,-16.5202,-1.6823,-7.6017,-3.1507,-2.9254,-6.6892,
3.3074,9.0209,-53.1174,5.2603,10.4605,-8.788,1.2056,-1.5637,-5.647,5.8905,3.2187,-6.577,7.6145,-9.9033,
-1.2292,-1.6434,-52.3407,1.5703,5.4943,-6.8147,1.6154,-0.50577,0.47639,4.5729,8.81,6.3508,5.2292,-14.6115,
0.049637,-14.3193,-53.2976,0.75291,4.9237,-6.1646,-0.65069,1.694,3.5813,6.9499,13.3433,13.4414,-1.1099,-10.1196,
-1.6407,-12.255,-46.9664,1.9129,12.5821,-5.5536,0.11136,5.2076,11.8022,7.7381,13.7479,8.0555,6.9103,-1.0765,
-2.7474,-3.0836,-44.3895,-1.8174,11.1039,-5.4615,0.8277,-0.16639,12.7814,-2.6085,10.2715,21.6721,11.5571,8.3878,
4.8892,-1.6938,-45.8235,-0.021124,7.3047,-7.7849,3.4296,-3.7718,11.7736,-7.9956,-0.22668,27.9645,2.9099,15.3568,
12.5498,-3.2792,-38.9765,7.4522,11.9278,-5.1489,5.3927,2.9622,18.5387,-7.2747,-9.6133,12.1866,-0.87988,13.7123,
5.2891,0.05085,-33.9868,4.8357,10.0071,-4.5988,0.00773,4.4715,21.524,-7.5613,-4.457,-2.6446,4.2344,14.0946,
-4.1872,5.8324,-35.804,-2.2032,0.24763,-10.5893,-1.9209,-3.9915,26.0171,-6.6257,7.3796,6.4317,4.4622,15.659,
-3.6948,0.90292,-32.9328,-0.38397,-0.49035,-11.6414,3.7377,-7.3677,38.5561,2.2077,11.5163,1.4663,3.9533,9.658,
-0.33997,-13.2513,-28.3054,2.2905,5.0828,-10.7019,2.3085,-2.8277,44.799,9.5472,12.5127,-7.5394,11.1885,7.8734,
-5.6221,-14.9868,-33.8378,-1.7032,-3.417,-15.3623,-6.9889,-1.2121,31.024,2.2256,8.3876,7.0129,6.1785,15.5958,
-5.0436,0.012417,-36.3871,2.4966,-4.8992,-9.861,-0.061653,2.9582,27.9575,-2.4875,7.6431,16.8359,-2.1462,25.9885,
-3.7771,2.0603,-40.4704,2.8287,5.0357,-9.7513,4.7623,-1.0757,18.5672,-6.6765,-0.046292,1.7257,-5.3919,22.501,
-0.89892,0.73143,-38.7653,4.3462,10.7591,-9.4072,0.37921,-0.77018,6.125,-5.5531,-11.3717,0.5376,0.95766,25.2483,
1.5651,11.7748,-37.4035,4.5674,7.2215,-2.0943,-0.60787,4.5787,2.865,-5.2199,-18.4022,1.9511,-0.064123,22.769,
0.50713,15.4068,-38.0518,-0.5276,6.788,-1.0046,2.8028,3.8213,0.28273,-7.799,-19.7084,-5.3965,-5.3632,12.726,
-0.48739,3.3954,-33.3583,-4.834,6.8629,-7.211,1.671,0.21783,3.6404,-0.58235,-13.7054,6.0143,1.2258,8.5882,
-1.9044,-6.4493,-31.8387,-7.9182,-3.1899,-9.1885,-4.6958,-4.6155,7.7603,1.8632,-6.1342,-3.9876,3.0805,-6.027,
-1.308,6.471,-32.3388,-1.6585,-2.9985,1.9679,-0.07592,3.3744,11.1513,-0.65897,6.7671,-12.9071,4.8236,-11.8115,
-10.8705,4.1545,-41.9678,-8.3079,-7.6393,-0.56032,-3.4458,-3.095,2.769,-6.4045,3.4686,1.9673,-3.1786,-0.016001,
-1.7821,-1.1564,-33.9059,-8.0502,1.2554,1.1605,0.85874,-5.0785,10.0751,3.3803,8.3226,15.9493,1.5919,10.3493,
1.9398,-1.328,-33.0769,-10.2187,4.7951,-1.5607,0.08386,-4.0509,8.2653,0.52589,11.4382,0.89232,2.7012,-4.3717,
-5.4072,5.0184,-37.359,-8.6415,2.097,-1.4668,-2.8135,2.4589,-3.8,-9.6288,1.5931,-3.1381,-1.3175,1.5547,
-7.7339,4.9583,-35.8404,-6.4358,10.8893,0.79038,0.0068983,2.5528,-7.6693,-6.8815,-4.0461,11.1502,0.44925,15.5614,
-8.9573,-4.7395,-35.8591,-11.1111,18.6718,-1.4264,-1.681,-2.6622,-4.0759,-0.92518,1.2581,9.8783,3.5556,10.6509,
-16.6148,-16.5064,-34.6719,-13.337,9.8387,-6.6435,-2.5444,-2.9844,-3.3494,-0.38773,3.1108,21.8191,7.6805,16.2783,
-20.6794,-25.8799,-29.4583,-10.3676,7.0792,-9.3781,3.6342,-1.1182,-2.4251,1.8047,5.0933,16.8945,19.9942,10.7224,
-15.5822,-36.3784,-25.7624,-11.1916,13.8849,-15.5641,3.8981,-2.4973,-2.2796,4.5889,6.234,1.7809,23.6148,-4.021,
-10.5497,-46.488,-23.9754,-15.0994,11.3648,-25.4763,1.0129,-4.9988,-4.7941,3.1085,-3.5398,-2.3029,14.7263,-6.7927,
-10.3991,-47.0732,-22.5371,-13.7117,6.8263,-24.9121,5.2907,-3.7348,-5.4706,2.4399,-3.81,11.9353,14.3244,7.7148,
-14.3547,-44.0078,-22.3902,-13.13,6.6579,-22.2123,2.8038,-4.7158,-3.9373,3.9805,10.5186,5.5549,17.5625,-1.7868,
-20.965,-47.8748,-24.1801,-16.9214,6.4994,-25.4588,-5.3181,-4.6738,-2.9781,1.5725,23.9874,-3.2141,16.2678,-10.5972,
-22.5994,-50.7872,-23.6933,-16.8703,5.1453,-27.3055,-3.0708,0.42713,-0.87103,-0.44984,20.3795,11.0787,15.292,-2.7308,
-14.9767,-47.2578,-16.9691,-7.6631,0.016357,-22.2927,-0.47624,2.3297,1.5914,4.3974,14.8179,22.827,15.3383,-0.63829,
-8.2936,-48.2786,-11.6125,-1.9008,-0.46667,-17.0989,1.4804,0.74377,4.3885,11.8464,18.2673,7.3574,14.4181,-13.6158,
-11.8933,-48.5153,-16.9413,-6.8484,3.6587,-22.5807,6.453,-2.9163,1.9558,14.7509,10.6636,-7.184,8.0092,-26.8988,
-15.2772,-38.6147,-23.8787,-9.5709,4.6443,-29.1797,5.825,-7.3209,-5.6335,12.6609,-4.0763,-4.5841,-0.42519,-19.8619,
-6.1656,-27.6207,-13.7691,1.6087,7.258,-22.6082,7.8859,-3.0251,-4.3314,10.9371,-16.4853,6.2965,2.0107,-13.8492,
-0.97544,-30.3022,-8.1225,8.2606,6.3403,-17.8777,7.8944,-0.43366,-5.0356,0.15775,-11.1581,-8.1813,5.7462,-24.1059,
1.2527,-25.8325,-11.2503,6.5601,6.2013,-13.6713,2.8415,0.79811,-7.3845,-2.0209,-5.4265,-11.1854,11.4274,-8.5596,
1.6595,-26.6929,-9.1293,3.2742,3.9008,-11.405,0.74278,0.26806,-5.0135,5.331,-2.691,3.5858,19.4187,4.1263,
-4.7068,-39.1914,-11.956,-1.7429,2.2205,-15.5412,1.1801,-2.6405,-0.8563,5.4935,-0.60133,-2.0525,13.9152,-10.2213,
-2.4961,-35.273,-17.0231,2.7003,11.2464,-17.5011,1.1095,-2.0001,5.9441,6.6098,9.0758,-5.7856,5.8496,-17.6826,
-1.3824,-19.1775,-22.2685,-1.8004,5.2689,-23.1999,-3.2958,-6.2185,0.76662,2.3567,11.9056,-0.13642,3.0879,-11.3194,
-5.3969,-29.3549,-20.2092,-9.1641,-3.0011,-20.1208,5.8202,-3.6763,2.8899,5.8309,14.8068,-2.7792,9.4107,-13.7731,
-6.7601,-36.9936,-17.3094,-4.0347,2.7226,-15.78,10.0505,2.0881,11.6348,12.4707,18.9799,-13.4587,17.2819,-23.3108,
-1.293,-25.374,-19.4043,4.1611,3.7643,-18.4486,0.047431,1.7216,11.6596,10.0352,19.0464,-8.5538,16.486,-23.1175,
1.1949,-20.4771,-21.6143,5.8397,-0.31795,-12.5212,3.901,3.0648,7.5858,7.0232,12.1188,3.5285,6.338,-13.5355,
-3.9383,-24.7922,-29.2354,-0.054223,-1.5038,-3.8161,7.7644,-0.73462,-0.82319,-0.3882,-1.3825,-2.2264,-7.2988,-12.4825,
-0.56879,-20.1712,-35.9172,-1.738,1.2375,-4.7922,1.7549,-3.824,-5.3535,-5.9085,-5.8793,1.0406,-8.5481,-9.082,
3.0808,-22.5763,-36.4135,-4.2852,2.3683,-14.8688,0.44455,-3.3534,-2.381,-2.9027,5.8019,9.896,-2.9737,-0.10117,
1.6907,-32.5501,-32.0594,-3.3049,-2.8351,-16.1459,0.17679,-0.01905,8.608,7.6357,19.5538,-0.57977,4.6764,-5.1569,
6.6509,-29.874,-25.0743,10.9934,-1.942,-1.9207,2.8174,9.3822,22.1915,21.2775,32.4806,0.65996,18.4958,-10.391,
5.2876,-23.261,-33.693,6.1157,-2.7897,-1.3236,1.2022,5.4447,17.1241,17.2289,31.2548,7.3689,13.1682,-8.3214,
-0.090997,-20.1782,-41.5535,-4.6152,-2.3812,-7.7518,-0.55704,-0.42547,3.3226,4.3849,17.5692,7.65,2.4961,-6.135,
2.5653,-21.6191,-36.8911,1.687,2.3412,-5.5997,-0.28288,3.6972,-0.9746,0.50637,14.3455,5.9857,5.9613,-8.9001,
4.822,-15.9832,-38.5338,4.9605,4.1289,-5.2635,0.69842,1.0657,-7.1826,-5.3086,9.6288,-8.4734,2.712,-19.4534,
10.5582,-0.92417,-42.7295,7.3142,9.9069,1.56,7.1642,-1.1676,-7.9567,-6.1951,8.3279,-11.9419,0.86183,-9.3679,
6.7912,12.9901,-41.371,9.0443,6.179,3.1534,1.1908,-2.7848,-11.0948,-4.1362,-3.0185,2.8746,-1.359,5.2942,
-1.8109,0.15958,-33.5861,8.9838,1.4697,-0.89192,-0.32672,-0.68931,-8.0187,2.8606,-9.5856,8.1253,-5.6161,9.4354,
-7.2459,-2.0192,-32.776,5.3115,-1.2698,-4.4538,0.41602,-1.8535,-0.54795,5.8223,-7.3234,-6.4622,-10.3405,-2.4592,
-4.1601,-1.1753,-36.3533,5.2335,-0.95239,-2.9818,-2.7427,-1.5011,3.5821,9.5705,-3.7508,-1.1335,-7.5512,1.3036,
-3.4281,-10.2634,-37.0642,0.099278,-3.3056,-1.3564,-3.542,0.99935,2.8854,16.7093,1.2948,13.0345,0.13296,8.4564,
-0.81213,-13.5041,-29.0556,-1.3528,-6.4814,0.17116,-0.91921,3.3496,5.6045,21.009,15.1969,8.7576,6.8735,-4.5843,
0.68263,-17.5143,-30.2048,-1.2717,1.1381,-5.1418,3.4743,3.1484,7.6786,15.4099,24.8902,-5.8679,8.8715,-18.4093,
