"AF3","AF4","F3","F4","F7","F8","FC5","FC6","O1","O2","P7","P8","T7","T8",
-1.687,-7.954,4.0976,30.128,334.7844,89.4205,-9.8822,-4.0976,-0.72313,-12.2923,0.72313,2.1694,-3.1333,6.0258,
-0.38071,-6.7536,3.1286,32.9003,328.7973,98.1553,-10.0121,-2.1643,-8.1515,-8.9034,0.43855,5.1725,-7.5248,19.7642,
1.0882,-1.5279,3.423,30.4441,323.1695,106.3659,-13.2678,-4.9267,-11.0367,-2.5844,-1.0338,1.4879,-16.7143,10.5039,
1.7462,6.0356,4.9049,26.4483,317.8793,107.9382,-8.8563,-0.051816,-8.6873,-4.1166,0.71546,-4.6269,-8.7218,-4.2263,
-2.2152,5.6737,-1.1742,23.4154,312.9065,103.8718,-7.3608,-1.4947,-10.5764,-8.6903,0.19037,0.47119,-2.8956,6.994,
-4.4928,3.4046,-3.032,23.4562,308.2321,111.7395,-5.9553,-8.6359,-8.4958,-7.2048,2.1071,5.7451,-4.6505,19.1074,
-0.84858,6.0931,0.52419,26.8693,303.8382,119.1351,-1.2594,-3.2973,-9.432,-6.7723,1.9809,-4.2403,-8.2279,6.874,
-0.07454,6.9326,-0.23039,20.1957,299.7079,126.087,-0.46075,3.4083,-11.9996,-12.3919,-1.7536,-10.976,-8.4571,-3.4206,
0.65283,9.6501,3.3988,18.743,295.8254,132.6218,1.2541,0.5527,0.04879,-9.961,-0.44306,-4.7734,-5.7805,9.559,
1.8187,11.7219,4.8819,18.3416,292.1759,137.4387,1.4196,-3.0961,2.6972,-7.6763,-2.5859,-6.6564,-10.0132,9.2267,
4.6021,11.983,5.5533,13.8666,288.7454,126.7823,-0.11136,2.8742,-4.2136,-6.7336,-1.4664,-12.5237,-5.556,-5.4269,
0.22841,3.7924,-0.32326,13.2758,285.5206,111.2218,-9.0227,1.9791,-2.2733,-7.5346,-0.17334,-10.5672,1.7675,-9.0782,
-4.847,-0.051023,-1.5092,12.2378,282.4894,105.7533,-13.5431,-4.1656,4.3706,-4.4314,2.0062,-2.4616,2.8662,5.5665,
-0.45857,10.3166,-0.69547,8.8527,279.64,108.8084,-9.1151,-0.30006,1.457,-0.55014,0.68078,-1.1084,-5.2597,10.4142,
6.7998,17.4104,-4.0282,8.3215,276.9616,104.69,-5.1937,5.9845,-3.9326,-4.8554,-5.1446,-3.452,-6.3899,-2.2617,
5.9096,7.6889,-2.8224,8.7864,274.4439,92.1418,-5.8462,3.6974,-5.625,-10.8309,-4.8357,-2.7632,-1.668,-3.0901,
0.25264,3.3709,0.23922,10.1871,272.0773,88.0594,-8.8696,1.5472,-8.662,-10.181,-2.6176,-1.1509,-8.3168,-5.315,
-1.4497,10.6405,-0.016096,8.853,269.8527,86.3912,-8.0965,2.6596,-4.0447,-4.0263,-2.2196,-1.3233,-8.5409,-2.3446,
2.4936,9.0382,-0.015131,6.8756,267.7615,71.5668,-4.7182,-0.39247,-0.42755,-3.7847,-3.5322,-1.2434,-3.6897,2.6168,
7.165,3.6754,0.94987,8.8734,265.7958,64.3805,-2.5071,-1.333,-6.6686,-8.8603,-5.2487,-0.68713,-0.57602,1.0133,
2.8782,1.0448,-1.0353,8.8229,263.9481,61.9639,-4.2849,0.67515,-10.1249,-9.7749,-3.9695,-1.1278,2.3506,1.9168,
-2.115,3.8739,-0.0090965,12.1497,262.2112,55.8357,-9.8126,2.0807,-9.9998,-9.6706,-2.2857,-4.4348,1.2455,-0.12661,
-0.54204,6.0518,3.8476,12.8672,260.5785,54.4135,-6.8135,3.4019,-10.3639,-11.5007,-0.7021,-7.543,-2.6859,-4.9395,
1.1779,-0.81899,-0.48037,5.5875,259.0438,50.4261,0.58496,-0.41744,-9.5009,-7.1953,-3.7932,-6.8492,-3.2479,1.3827,
4.7227,2.8456,-5.0308,8.3857,257.6012,51.0159,5.1296,1.7768,-0.49493,6.0109,0.049786,-0.89464,5.3832,12.1455,
