"AF3","AF4","F3","F4","F7","F8","FC5","FC6","O1","O2","P7","P8","T7","T8",
11.5692,-21.6921,-11.5692,11.0872,20.2463,-25.0665,-1.4463,8.6771,0.48193,-7.7128,2.4101,-0.48193,17.8361,-0.48193,
15.2138,-17.9804,-6.0543,17.6528,15.657,-28.3832,0.56871,7.1921,0.45302,-4.8399,-1.5909,-0.45302,15.8016,-1.8993,
13.5776,-12.8042,-6.4144,14.424,11.1022,-25.4749,-0.18831,5.0734,-3.1896,-5.7548,-7.039,0.779,17.5046,0.38384,
8.4244,-10.5899,-11.332,10.1844,9.472,-17.1978,1.269,4.2873,-4.9262,-5.8912,-11.9191,-1.1957,18.3828,2.7712,
12.0163,-5.3753,-9.4472,8.368,14.9292,-16.8893,5.2902,11.0195,-5.354,-4.3329,-7.5885,-0.883,16.0745,0.91767,
14.4288,-0.95493,-7.1931,6.6611,11.3823,-17.5631,-1.0527,11.5636,-8.1658,-6.724,-3.5178,0.85721,11.9766,0.62164,
11.6349,2.4768,-6.2792,9.6359,9.2531,-9.7604,-3.8816,10.3878,-4.3014,-3.9104,-3.3067,1.7696,13.1866,4.9227,
6.5985,0.39955,-3.9747,8.5753,14.4825,-9.1748,2.6178,11.2104,-3.0794,-4.6397,-5.0365,-2.6749,14.3232,4.1454,
10.3001,0.13484,-0.60248,10.2307,14.3367,-10.7933,1.7376,13.1895,-4.5816,-7.4946,-2.083,-1.7912,14.6693,5.1017,
10.405,-1.5605,-1.7716,9.8573,-0.62349,-7.4946,-4.3922,8.7823,-3.5838,-6.322,-3.1633,4.3418,12.5838,4.0722,
6.4065,-4.3591,-5.5215,7.3379,-3.5986,-7.5271,0.20987,5.3631,-8.6712,-6.4248,-7.3121,5.5278,7.4903,-1.4745,
8.4322,-5.5438,-3.262,10.754,10.7173,-11.4138,1.6431,9.38,-7.1871,-6.5213,-3.9808,-1.0709,10.4153,-0.42171,
11.3005,-6.1753,3.2,11.0729,15.256,-7.8366,-0.38347,12.1915,1.921,-2.7558,3.4886,-1.9707,19.9135,3.4598,
9.1765,-6.7689,0.11571,10.4083,10.0021,-5.4385,4.942,9.5316,-0.60461,-7.8928,-0.094912,-0.88837,13.4158,-0.60399,
9.8309,-6.1216,-3.0245,10.025,11.0894,-6.7992,2.9584,7.7546,-5.1474,-8.1424,-4.6687,-0.59388,1.2829,-0.80895,
11.1693,-6.2362,-0.43243,7.4953,6.0857,-9.7657,-4.4499,5.3611,-1.4641,-0.90495,-2.9423,3.7801,0.724,5.0242,
